start,end,miles
GOA,KOO,2.8
KOO,GOA,2.8
KOO,STO,5.3
KOO,FIF,8.3
STO,KOO,5.3
STO,FIF,8.2
STO,MOJ,5.7
MOJ,STO,5.7
MOJ,MOL,1.1
MOJ,GLH,0.5
MOL,MOJ,1.1
GLH,MOJ,0.5
GLH,GLF,2.6
GLF,GLH,2.6
GLF,COS,1.5
COS,GLF,1.5
COS,GAB,2.6
COS,ELF,3.7
GAB,COS,2.6
GAB,ELF,3.4
ELF,COS,3.7
ELF,GAB,3.4
ELF,ELH,1.6
ELF,MANYGLACIER,10.5
ELH,ELF,1.6
ELH,HEL,2.7
HEL,ELH,2.7
MANYGLACIER,ELF,10.5
MANYGLACIER,GRN,7.6
MANYGLACIER,SIYEHBEND,12.9
SIYEHBEND,MANYGLACIER,12.9
SIYEHBEND,LOGANPASS,0
LOGANPASS,SIYEHBEND,0
LOGANPASS,GRN,7.6
LOGANPASS,PACKERSROOST,0
GRN,MANYGLACIER,7.6
GRN,LOGANPASS,7.6
GRN,PACKERSROOST,4.2
GRN,FIF,11.9
PACKERSROOST,LOGANPASS,0
PACKERSROOST,GRN,4.2
PACKERSROOST,FLA,5.7
FLA,PACKERSROOST,5.7
FLA,FIF,6.3
FIF,FLA,6.3
FIF,GRN,11.9
FIF,KOO,8.3
FIF,STO,8.2
